Biome,Boundaries
BloodKelp,-850/1600/-350/1200;-1050/-480/-910/-600
CragField,-100/-1200/500/-1500
CrashZone,250/-650/700/-1100;700/-900/1200/-1300;1100/-650/1400/-1000;1350/550/1550/350
Dunes,-1600/300/-1100/0;-1600/900/-1300/300;-1200/800/-1100/700
FloatingIsland,-712/-1072/-708/-1076
GrandReef,-1400/-1100/-900/-1500;-900/-1300/-300/-1600
GrassyPlateaus,-400/600/-300/500;-800/200/-500/0;250/350/350/150;0/-600/100/-700
Kelp,-550/320/-250/280;100/700/400/600;-300/-500/-200/-600;280/-380/320/-420
KooshZone,900/800/1400/600
Mountains,600/1500/1300/1100
MushroomForest,-1000/700/-700/500;600/600/700/300
SeaTreaderPath,-1500/-500/-1200/-800
SparseReef,-800/-500/-600/-850
UnderwaterIslands,-250/1150/0/800
None,-1540/-1000/-1500/-1040;1580/-580/1620/-620;-1410/1410/-1390/1390